Sept. 6, 2023   16:25:16
Differential Pulse Stripping Voltammetry
File: c:\users\10619\desktop\4.csv
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.4
Final E (V) = 0
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.06
Sample Width (sec) = 0.02
Pulse Period (sec) = 0.2
Deposition E (V) = -1.55
Deposition Time (sec) = 120
Quiet Time (sec) = 15
Sensitivity (A/V) = 1e-5

Results:

Channel 1:
ip = 1.064e-7A

ip = 6.045e-8A

ip = 2.954e-7A

Potential/V, Current/A

-1.396, 5.383e-6
-1.392, 5.426e-6
-1.388, 5.412e-6
-1.384, 5.394e-6
-1.380, 5.375e-6
-1.376, 5.359e-6
-1.372, 5.340e-6
-1.368, 5.321e-6
-1.364, 5.301e-6
-1.360, 5.280e-6
-1.356, 5.260e-6
-1.352, 5.242e-6
-1.348, 5.225e-6
-1.344, 5.207e-6
-1.340, 5.192e-6
-1.336, 5.176e-6
-1.332, 5.162e-6
-1.328, 5.150e-6
-1.324, 5.137e-6
-1.320, 5.124e-6
-1.316, 5.112e-6
-1.312, 5.102e-6
-1.308, 5.090e-6
-1.304, 5.078e-6
-1.300, 5.067e-6
-1.296, 5.057e-6
-1.292, 5.045e-6
-1.288, 5.035e-6
-1.284, 5.028e-6
-1.280, 5.022e-6
-1.276, 5.021e-6
-1.272, 5.021e-6
-1.268, 5.026e-6
-1.264, 5.034e-6
-1.260, 5.044e-6
-1.256, 5.058e-6
-1.252, 5.074e-6
-1.248, 5.088e-6
-1.244, 5.099e-6
-1.240, 5.110e-6
-1.236, 5.116e-6
-1.232, 5.116e-6
-1.228, 5.112e-6
-1.224, 5.102e-6
-1.220, 5.088e-6
-1.216, 5.070e-6
-1.212, 5.051e-6
-1.208, 5.033e-6
-1.204, 5.017e-6
-1.200, 5.005e-6
-1.196, 4.999e-6
-1.192, 4.996e-6
-1.188, 4.996e-6
-1.184, 5.000e-6
-1.180, 5.005e-6
-1.176, 5.010e-6
-1.172, 5.012e-6
-1.168, 5.007e-6
-1.164, 4.993e-6
-1.160, 4.972e-6
-1.156, 4.941e-6
-1.152, 4.901e-6
-1.148, 4.853e-6
-1.144, 4.798e-6
-1.140, 4.742e-6
-1.136, 4.682e-6
-1.132, 4.624e-6
-1.128, 4.569e-6
-1.124, 4.517e-6
-1.120, 4.468e-6
-1.116, 4.424e-6
-1.112, 4.384e-6
-1.108, 4.348e-6
-1.104, 4.315e-6
-1.100, 4.287e-6
-1.096, 4.259e-6
-1.092, 4.235e-6
-1.088, 4.211e-6
-1.084, 4.189e-6
-1.080, 4.170e-6
-1.076, 4.149e-6
-1.072, 4.130e-6
-1.068, 4.111e-6
-1.064, 4.092e-6
-1.060, 4.074e-6
-1.056, 4.054e-6
-1.052, 4.036e-6
-1.048, 4.016e-6
-1.044, 3.997e-6
-1.040, 3.979e-6
-1.036, 3.959e-6
-1.032, 3.941e-6
-1.028, 3.922e-6
-1.024, 3.901e-6
-1.020, 3.881e-6
-1.016, 3.861e-6
-1.012, 3.841e-6
-1.008, 3.822e-6
-1.004, 3.802e-6
-1.000, 3.781e-6
-0.996, 3.759e-6
-0.992, 3.739e-6
-0.988, 3.717e-6
-0.984, 3.697e-6
-0.980, 3.676e-6
-0.976, 3.654e-6
-0.972, 3.631e-6
-0.968, 3.610e-6
-0.964, 3.590e-6
-0.960, 3.567e-6
-0.956, 3.544e-6
-0.952, 3.524e-6
-0.948, 3.502e-6
-0.944, 3.482e-6
-0.940, 3.459e-6
-0.936, 3.437e-6
-0.932, 3.417e-6
-0.928, 3.396e-6
-0.924, 3.375e-6
-0.920, 3.356e-6
-0.916, 3.335e-6
-0.912, 3.316e-6
-0.908, 3.296e-6
-0.904, 3.279e-6
-0.900, 3.263e-6
-0.896, 3.245e-6
-0.892, 3.231e-6
-0.888, 3.216e-6
-0.884, 3.202e-6
-0.880, 3.188e-6
-0.876, 3.177e-6
-0.872, 3.164e-6
-0.868, 3.154e-6
-0.864, 3.144e-6
-0.860, 3.136e-6
-0.856, 3.128e-6
-0.852, 3.120e-6
-0.848, 3.115e-6
-0.844, 3.109e-6
-0.840, 3.104e-6
-0.836, 3.098e-6
-0.832, 3.093e-6
-0.828, 3.087e-6
-0.824, 3.084e-6
-0.820, 3.079e-6
-0.816, 3.075e-6
-0.812, 3.072e-6
-0.808, 3.067e-6
-0.804, 3.064e-6
-0.800, 3.060e-6
-0.796, 3.057e-6
-0.792, 3.053e-6
-0.788, 3.051e-6
-0.784, 3.048e-6
-0.780, 3.046e-6
-0.776, 3.045e-6
-0.772, 3.043e-6
-0.768, 3.042e-6
-0.764, 3.041e-6
-0.760, 3.043e-6
-0.756, 3.045e-6
-0.752, 3.047e-6
-0.748, 3.051e-6
-0.744, 3.056e-6
-0.740, 3.064e-6
-0.736, 3.071e-6
-0.732, 3.078e-6
-0.728, 3.084e-6
-0.724, 3.089e-6
-0.720, 3.091e-6
-0.716, 3.089e-6
-0.712, 3.081e-6
-0.708, 3.073e-6
-0.704, 3.062e-6
-0.700, 3.050e-6
-0.696, 3.040e-6
-0.692, 3.031e-6
-0.688, 3.025e-6
-0.684, 3.022e-6
-0.680, 3.021e-6
-0.676, 3.022e-6
-0.672, 3.027e-6
-0.668, 3.032e-6
-0.664, 3.041e-6
-0.660, 3.051e-6
-0.656, 3.063e-6
-0.652, 3.076e-6
-0.648, 3.091e-6
-0.644, 3.108e-6
-0.640, 3.127e-6
-0.636, 3.148e-6
-0.632, 3.171e-6
-0.628, 3.197e-6
-0.624, 3.225e-6
-0.620, 3.254e-6
-0.616, 3.285e-6
-0.612, 3.316e-6
-0.608, 3.343e-6
-0.604, 3.365e-6
-0.600, 3.381e-6
-0.596, 3.385e-6
-0.592, 3.379e-6
-0.588, 3.360e-6
-0.584, 3.331e-6
-0.580, 3.294e-6
-0.576, 3.253e-6
-0.572, 3.213e-6
-0.568, 3.173e-6
-0.564, 3.140e-6
-0.560, 3.111e-6
-0.556, 3.090e-6
-0.552, 3.072e-6
-0.548, 3.058e-6
-0.544, 3.048e-6
-0.540, 3.040e-6
-0.536, 3.034e-6
-0.532, 3.029e-6
-0.528, 3.025e-6
-0.524, 3.022e-6
-0.520, 3.020e-6
-0.516, 3.017e-6
-0.512, 3.014e-6
-0.508, 3.011e-6
-0.504, 3.008e-6
-0.500, 3.007e-6
-0.496, 3.005e-6
-0.492, 3.003e-6
-0.488, 3.003e-6
-0.484, 3.005e-6
-0.480, 3.006e-6
-0.476, 3.009e-6
-0.472, 3.012e-6
-0.468, 3.018e-6
-0.464, 3.023e-6
-0.460, 3.033e-6
-0.456, 3.042e-6
-0.452, 3.053e-6
-0.448, 3.066e-6
-0.444, 3.081e-6
-0.440, 3.097e-6
-0.436, 3.115e-6
-0.432, 3.134e-6
-0.428, 3.155e-6
-0.424, 3.176e-6
-0.420, 3.201e-6
-0.416, 3.226e-6
-0.412, 3.251e-6
-0.408, 3.276e-6
-0.404, 3.304e-6
-0.400, 3.330e-6
-0.396, 3.358e-6
-0.392, 3.385e-6
-0.388, 3.412e-6
-0.384, 3.439e-6
-0.380, 3.464e-6
-0.376, 3.490e-6
-0.372, 3.515e-6
-0.368, 3.538e-6
-0.364, 3.559e-6
-0.360, 3.581e-6
-0.356, 3.600e-6
-0.352, 3.617e-6
-0.348, 3.632e-6
-0.344, 3.643e-6
-0.340, 3.651e-6
-0.336, 3.657e-6
-0.332, 3.659e-6
-0.328, 3.657e-6
-0.324, 3.650e-6
-0.320, 3.637e-6
-0.316, 3.621e-6
-0.312, 3.600e-6
-0.308, 3.572e-6
-0.304, 3.540e-6
-0.300, 3.505e-6
-0.296, 3.469e-6
-0.292, 3.432e-6
-0.288, 3.393e-6
-0.284, 3.357e-6
-0.280, 3.322e-6
-0.276, 3.290e-6
-0.272, 3.261e-6
-0.268, 3.236e-6
-0.264, 3.213e-6
-0.260, 3.193e-6
-0.256, 3.175e-6
-0.252, 3.157e-6
-0.248, 3.141e-6
-0.244, 3.126e-6
-0.240, 3.110e-6
-0.236, 3.096e-6
-0.232, 3.082e-6
-0.228, 3.067e-6
-0.224, 3.055e-6
-0.220, 3.042e-6
-0.216, 3.029e-6
-0.212, 3.018e-6
-0.208, 3.007e-6
-0.204, 2.998e-6
-0.200, 2.989e-6
-0.196, 2.983e-6
-0.192, 2.978e-6
-0.188, 2.973e-6
-0.184, 2.971e-6
-0.180, 2.971e-6
-0.176, 2.974e-6
-0.172, 2.977e-6
-0.168, 2.982e-6
-0.164, 2.991e-6
-0.160, 3.000e-6
-0.156, 3.013e-6
-0.152, 3.026e-6
-0.148, 3.046e-6
-0.144, 3.068e-6
-0.140, 3.090e-6
-0.136, 3.118e-6
-0.132, 3.151e-6
-0.128, 3.190e-6
-0.124, 3.237e-6
-0.120, 3.290e-6
-0.116, 3.355e-6
-0.112, 3.432e-6
-0.108, 3.522e-6
-0.104, 3.628e-6
-0.100, 3.751e-6
-0.096, 3.890e-6
-0.092, 4.047e-6
-0.088, 4.223e-6
-0.084, 4.417e-6
-0.080, 4.626e-6
-0.076, 4.844e-6
-0.072, 5.072e-6
-0.068, 5.300e-6
-0.064, 5.527e-6
-0.060, 5.747e-6
-0.056, 5.954e-6
-0.052, 6.141e-6
-0.048, 6.304e-6
-0.044, 6.440e-6
-0.040, 6.542e-6
-0.036, 6.614e-6
-0.032, 6.660e-6
-0.028, 6.690e-6
-0.024, 6.717e-6
-0.020, 6.743e-6
-0.016, 6.785e-6
-0.012, 6.851e-6
-0.008, 6.956e-6
-0.004, 7.112e-6
-0.000, 7.334e-6
